"CV","Default Value","Value"
16.0.511, 0, 0
16.0.512, 0, 31
16.1.257, 0, 0
16.1.258, 0, 0
16.1.259, 0, 96
16.1.260, 0, 0
16.1.261, 0, 128
16.1.262, 0, 192
16.1.263, 0, 0
16.1.264, 0, 0
16.1.265, 0, 0
16.1.266, 0, 0
16.1.267, 0, 128
16.1.268, 0, 1
16.1.269, 0, 128
16.1.270, 0, 128
16.1.271, 0, 0
16.1.272, 0, 0
16.1.273, 0, 0
16.1.274, 0, 0
16.1.275, 0, 128
16.1.276, 0, 1
16.1.277, 0, 128
16.1.278, 0, 128
16.1.279, 0, 0
16.1.280, 0, 0
16.1.281, 0, 0
16.1.282, 0, 0
16.1.283, 0, 128
16.1.284, 0, 1
16.1.285, 0, 128
16.1.286, 0, 128
16.1.287, 0, 0
16.1.288, 0, 0
16.1.289, 0, 0
16.1.290, 0, 0
16.1.291, 0, 128
16.1.292, 0, 1
16.1.293, 0, 128
16.1.294, 0, 128
16.1.295, 0, 0
16.1.296, 0, 0
16.1.297, 0, 0
16.1.298, 0, 0
16.1.299, 0, 64
16.1.300, 0, 1
16.1.301, 0, 128
16.1.302, 0, 128
16.1.303, 0, 0
16.1.304, 0, 0
16.1.305, 0, 0
16.1.306, 0, 0
16.1.307, 0, 128
16.1.308, 0, 1
16.1.309, 0, 128
16.1.310, 0, 128
16.1.311, 0, 0
16.1.312, 0, 0
16.1.313, 0, 0
16.1.314, 0, 0
16.1.315, 0, 128
16.1.316, 0, 1
16.1.317, 0, 128
16.1.318, 0, 128
16.1.319, 0, 0
16.1.320, 0, 0
16.1.321, 0, 0
16.1.322, 0, 0
16.1.323, 0, 32
16.1.324, 0, 1
16.1.325, 0, 128
16.1.326, 0, 128
16.1.327, 0, 0
16.1.328, 0, 0
16.1.329, 0, 0
16.1.330, 0, 0
16.1.331, 0, 64
16.1.332, 0, 1
16.1.333, 0, 128
16.1.334, 0, 128
16.1.335, 0, 0
16.1.336, 0, 0
16.1.337, 0, 0
16.1.338, 0, 0
16.1.339, 0, 64
16.1.340, 0, 0
16.1.341, 0, 128
16.1.342, 0, 128
16.1.343, 0, 0
16.1.344, 0, 0
16.1.345, 0, 0
16.1.346, 0, 0
16.1.347, 0, 128
16.1.348, 0, 0
16.1.349, 0, 128
16.1.350, 0, 128
16.1.351, 0, 0
16.1.352, 0, 0
16.1.353, 0, 0
16.1.354, 0, 0
16.1.355, 0, 48
16.1.356, 0, 1
16.1.357, 0, 128
16.1.358, 0, 128
16.1.359, 0, 0
16.1.360, 0, 0
16.1.361, 0, 0
16.1.362, 0, 0
16.1.363, 0, 64
16.1.364, 0, 0
16.1.365, 0, 128
16.1.366, 0, 128
16.1.367, 0, 0
16.1.368, 0, 0
16.1.369, 0, 0
16.1.370, 0, 0
16.1.371, 0, 96
16.1.372, 0, 1
16.1.373, 0, 128
16.1.374, 0, 128
16.1.375, 0, 0
16.1.376, 0, 0
16.1.377, 0, 0
16.1.378, 0, 0
16.1.379, 0, 128
16.1.380, 0, 0
16.1.381, 0, 128
16.1.382, 0, 128
16.1.383, 0, 0
16.1.384, 0, 0
16.1.385, 0, 0
16.1.386, 0, 0
16.1.387, 0, 96
16.1.388, 0, 0
16.1.389, 0, 128
16.1.390, 0, 192
16.1.391, 0, 0
16.1.392, 0, 0
16.1.393, 0, 0
16.1.394, 0, 0
16.1.395, 0, 128
16.1.396, 0, 1
16.1.397, 0, 128
16.1.398, 0, 128
16.1.399, 0, 0
16.1.400, 0, 0
16.1.401, 0, 0
16.1.402, 0, 0
16.1.403, 0, 128
16.1.404, 0, 1
16.1.405, 0, 128
16.1.406, 0, 128
16.1.407, 0, 0
16.1.408, 0, 0
16.1.409, 0, 0
16.1.410, 0, 0
16.1.411, 0, 128
16.1.412, 0, 1
16.1.413, 0, 128
16.1.414, 0, 128
16.1.415, 0, 0
16.1.416, 0, 0
16.1.417, 0, 0
16.1.418, 0, 0
16.1.419, 0, 128
16.1.420, 0, 1
16.1.421, 0, 128
16.1.422, 0, 128
16.1.423, 0, 0
16.1.424, 0, 0
16.1.425, 0, 0
16.1.426, 0, 0
16.1.427, 0, 64
16.1.428, 0, 1
16.1.429, 0, 128
16.1.430, 0, 128
16.1.431, 0, 0
16.1.432, 0, 0
16.1.433, 0, 0
16.1.434, 0, 0
16.1.435, 0, 128
16.1.436, 0, 1
16.1.437, 0, 128
16.1.438, 0, 128
16.1.439, 0, 0
16.1.440, 0, 0
16.1.441, 0, 0
16.1.442, 0, 0
16.1.443, 0, 128
16.1.444, 0, 1
16.1.445, 0, 128
16.1.446, 0, 128
16.1.447, 0, 0
16.1.448, 0, 0
16.1.449, 0, 0
16.1.450, 0, 0
16.1.451, 0, 32
16.1.452, 0, 1
16.1.453, 0, 128
16.1.454, 0, 128
16.1.455, 0, 0
16.1.456, 0, 0
16.1.457, 0, 0
16.1.458, 0, 0
16.1.459, 0, 64
16.1.460, 0, 1
16.1.461, 0, 128
16.1.462, 0, 128
16.1.463, 0, 0
16.1.464, 0, 0
16.1.465, 0, 0
16.1.466, 0, 0
16.1.467, 0, 64
16.1.468, 0, 0
16.1.469, 0, 128
16.1.470, 0, 128
16.1.471, 0, 0
16.1.472, 0, 0
16.1.473, 0, 0
16.1.474, 0, 0
16.1.475, 0, 128
16.1.476, 0, 0
16.1.477, 0, 128
16.1.478, 0, 128
16.1.479, 0, 0
16.1.480, 0, 0
16.1.481, 0, 0
16.1.482, 0, 0
16.1.483, 0, 48
16.1.484, 0, 1
16.1.485, 0, 128
16.1.486, 0, 128
16.1.487, 0, 0
16.1.488, 0, 0
16.1.489, 0, 0
16.1.490, 0, 0
16.1.491, 0, 64
16.1.492, 0, 0
16.1.493, 0, 128
16.1.494, 0, 128
16.1.495, 0, 0
16.1.496, 0, 0
16.1.497, 0, 0
16.1.498, 0, 0
16.1.499, 0, 96
16.1.500, 0, 1
16.1.501, 0, 128
16.1.502, 0, 128
16.1.503, 0, 0
16.1.504, 0, 0
16.1.505, 0, 0
16.1.506, 0, 0
16.1.507, 0, 128
16.1.508, 0, 0
16.1.509, 0, 128
16.1.510, 0, 128
16.1.511, 0, 0
16.1.512, 0, 0
16.2.257, 0, 0
16.2.258, 0, 0
16.2.259, 0, 32
16.2.260, 0, 0
16.2.261, 0, 128
16.2.262, 0, 128
16.2.263, 0, 0
16.2.264, 0, 0
16.2.265, 0, 0
16.2.266, 0, 0
16.2.267, 0, 128
16.2.268, 0, 0
16.2.269, 0, 128
16.2.270, 0, 128
16.2.271, 0, 0
16.2.272, 0, 0
16.2.273, 0, 0
16.2.274, 0, 0
16.2.275, 0, 0
16.2.276, 0, 0
16.2.277, 0, 0
16.2.278, 0, 0
16.2.279, 0, 0
16.2.280, 0, 0
16.2.281, 0, 0
16.2.282, 0, 0
16.2.283, 0, 0
16.2.284, 0, 0
16.2.285, 0, 0
16.2.286, 0, 0
16.2.287, 0, 0
16.2.288, 0, 0
16.2.289, 0, 0
16.2.290, 0, 0
16.2.291, 0, 0
16.2.292, 0, 0
16.2.293, 0, 0
16.2.294, 0, 0
16.2.295, 0, 0
16.2.296, 0, 0
16.2.297, 0, 0
16.2.298, 0, 0
16.2.299, 0, 0
16.2.300, 0, 0
16.2.301, 0, 0
16.2.302, 0, 0
16.2.303, 0, 0
16.2.304, 0, 0
16.2.305, 0, 0
16.2.306, 0, 0
16.2.307, 0, 0
16.2.308, 0, 0
16.2.309, 0, 0
16.2.310, 0, 0
16.2.311, 0, 0
16.2.312, 0, 0
16.2.313, 0, 0
16.2.314, 0, 0
16.2.315, 0, 0
16.2.316, 0, 0
16.2.317, 0, 0
16.2.318, 0, 0
16.2.319, 0, 0
16.2.320, 0, 0
16.2.321, 0, 0
16.2.322, 0, 0
16.2.323, 0, 0
16.2.324, 0, 0
16.2.325, 0, 0
16.2.326, 0, 0
16.2.327, 0, 0
16.2.328, 0, 0
16.2.329, 0, 0
16.2.330, 0, 0
16.2.331, 0, 0
16.2.332, 0, 0
16.2.333, 0, 0
16.2.334, 0, 0
16.2.335, 0, 0
16.2.336, 0, 0
16.2.337, 0, 0
16.2.338, 0, 0
16.2.339, 0, 0
16.2.340, 0, 0
16.2.341, 0, 0
16.2.342, 0, 0
16.2.343, 0, 0
16.2.344, 0, 0
16.2.345, 0, 0
16.2.346, 0, 0
16.2.347, 0, 0
16.2.348, 0, 0
16.2.349, 0, 0
16.2.350, 0, 0
16.2.351, 0, 0
16.2.352, 0, 0
16.2.353, 0, 0
16.2.354, 0, 0
16.2.355, 0, 0
16.2.356, 0, 0
16.2.357, 0, 0
16.2.358, 0, 0
16.2.359, 0, 0
16.2.360, 0, 0
16.2.361, 0, 0
16.2.362, 0, 0
16.2.363, 0, 0
16.2.364, 0, 0
16.2.365, 0, 0
16.2.366, 0, 0
16.2.367, 0, 0
16.2.368, 0, 0
16.2.369, 0, 0
16.2.370, 0, 0
16.2.371, 0, 0
16.2.372, 0, 0
16.2.373, 0, 0
16.2.374, 0, 0
16.2.375, 0, 0
16.2.376, 0, 0
16.2.377, 0, 0
16.2.378, 0, 0
16.2.379, 0, 0
16.2.380, 0, 0
16.2.381, 0, 0
16.2.382, 0, 0
16.2.383, 0, 0
16.2.384, 0, 0
16.2.385, 0, 0
16.2.386, 0, 0
16.2.387, 0, 32
16.2.388, 0, 0
16.2.389, 0, 128
16.2.390, 0, 128
16.2.391, 0, 0
16.2.392, 0, 0
16.2.393, 0, 0
16.2.394, 0, 0
16.2.395, 0, 128
16.2.396, 0, 0
16.2.397, 0, 128
16.2.398, 0, 128
16.2.399, 0, 0
16.2.400, 0, 0
16.2.401, 0, 0
16.2.402, 0, 0
16.2.403, 0, 0
16.2.404, 0, 0
16.2.405, 0, 0
16.2.406, 0, 0
16.2.407, 0, 0
16.2.408, 0, 0
16.2.409, 0, 0
16.2.410, 0, 0
16.2.411, 0, 0
16.2.412, 0, 0
16.2.413, 0, 0
16.2.414, 0, 0
16.2.415, 0, 0
16.2.416, 0, 0
16.2.417, 0, 0
16.2.418, 0, 0
16.2.419, 0, 0
16.2.420, 0, 0
16.2.421, 0, 0
16.2.422, 0, 0
16.2.423, 0, 0
16.2.424, 0, 0
16.2.425, 0, 0
16.2.426, 0, 0
16.2.427, 0, 0
16.2.428, 0, 0
16.2.429, 0, 0
16.2.430, 0, 0
16.2.431, 0, 0
16.2.432, 0, 0
16.2.433, 0, 0
16.2.434, 0, 0
16.2.435, 0, 0
16.2.436, 0, 0
16.2.437, 0, 0
16.2.438, 0, 0
16.2.439, 0, 0
16.2.440, 0, 0
16.2.441, 0, 0
16.2.442, 0, 0
16.2.443, 0, 0
16.2.444, 0, 0
16.2.445, 0, 0
16.2.446, 0, 0
16.2.447, 0, 0
16.2.448, 0, 0
16.2.449, 0, 0
16.2.450, 0, 0
16.2.451, 0, 0
16.2.452, 0, 0
16.2.453, 0, 0
16.2.454, 0, 0
16.2.455, 0, 0
16.2.456, 0, 0
16.2.457, 0, 0
16.2.458, 0, 0
16.2.459, 0, 0
16.2.460, 0, 0
16.2.461, 0, 0
16.2.462, 0, 0
16.2.463, 0, 0
16.2.464, 0, 0
16.2.465, 0, 0
16.2.466, 0, 0
16.2.467, 0, 0
16.2.468, 0, 0
16.2.469, 0, 0
16.2.470, 0, 0
16.2.471, 0, 0
16.2.472, 0, 0
16.2.473, 0, 0
16.2.474, 0, 0
16.2.475, 0, 0
16.2.476, 0, 0
16.2.477, 0, 0
16.2.478, 0, 0
16.2.479, 0, 0
16.2.480, 0, 0
16.2.481, 0, 0
16.2.482, 0, 0
16.2.483, 0, 0
16.2.484, 0, 0
16.2.485, 0, 0
16.2.486, 0, 0
16.2.487, 0, 0
16.2.488, 0, 0
16.2.489, 0, 0
16.2.490, 0, 0
16.2.491, 0, 0
16.2.492, 0, 0
16.2.493, 0, 0
16.2.494, 0, 0
16.2.495, 0, 0
16.2.496, 0, 0
16.2.497, 0, 0
16.2.498, 0, 0
16.2.499, 0, 0
16.2.500, 0, 0
16.2.501, 0, 0
16.2.502, 0, 0
16.2.503, 0, 0
16.2.504, 0, 0
16.2.505, 0, 0
16.2.506, 0, 0
16.2.507, 0, 0
16.2.508, 0, 0
16.2.509, 0, 0
16.2.510, 0, 0
16.2.511, 0, 0
16.2.512, 0, 0
