"CV","Default Value","Value"
1, 10, 10
2, 5, 5
3, 0, 0
4, 0, 0
5, 190, 190
6, 0, 0
7, 255, 255
8, 151, 151
9, 40, 40
10, 0, 0
11, 0, 0
12, 0, 0
13, 1, 1
14, 1, 1
15, 0, 0
16, 0, 0
17, 192, 192
18, 200, 200
19, 0, 0
20, 0, 0
21, 0, 0
22, 0, 0
23, 0, 0
24, 0, 0
25, 0, 0
26, 0, 0
27, 0, 0
28, 131, 131
29, 18, 18
30, 0, 0
31, 16, 16
32, 2, 0
33, 0, 0
34, 0, 0
35, 0, 0
36, 0, 0
37, 0, 0
38, 0, 0
39, 0, 0
40, 0, 0
41, 0, 0
42, 0, 0
43, 0, 0
44, 0, 0
45, 0, 0
46, 0, 0
47, 3, 3
48, 0, 0
49, 1, 1
50, 2, 2
51, 10, 10
52, 32, 32
53, 140, 140
54, 48, 48
55, 10, 10
56, 255, 255
57, 30, 30
58, 20, 20
59, 0, 0
60, 0, 0
61, 0, 0
62, 0, 0
63, 192, 192
64, 12, 12
65, 6, 6
66, 0, 0
67, 1, 1
68, 10, 10
69, 20, 20
70, 29, 29
71, 38, 38
72, 47, 47
73, 57, 57
74, 66, 66
75, 75, 75
76, 86, 86
77, 95, 95
78, 104, 104
79, 114, 114
80, 123, 123
81, 132, 132
82, 141, 141
83, 151, 151
84, 160, 160
85, 170, 170
86, 180, 180
87, 189, 189
88, 198, 198
89, 208, 208
90, 217, 217
91, 226, 226
92, 235, 235
93, 245, 245
94, 255, 255
95, 0, 0
96, 0, 0
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
101, 64, 64
102, 12, 12
103, 96, 96
104, 255, 255
105, 0, 0
106, 0, 0
107, 0, 0
108, 0, 0
109, 0, 0
110, 0, 0
111, 0, 0
112, 43, 43
113, 40, 40
114, 0, 0
115, 0, 0
116, 50, 50
117, 150, 150
118, 15, 15
119, 20, 20
120, 0, 0
121, 0, 0
122, 0, 0
123, 100, 100
124, 52, 52
125, 85, 85
126, 130, 130
127, 90, 90
128, 130, 130
129, 15, 15
130, 5, 5
131, 0, 0
132, 79, 79
133, 0, 0
134, 30, 30
135, 3, 3
136, 0, 0
137, 0, 0
138, 128, 128
139, 128, 128
140, 0, 0
141, 0, 0
142, 0, 0
143, 0, 0
144, 150, 150
145, 0, 0
146, 0, 0
147, 0, 0
148, 0, 0
149, 0, 0
150, 42, 42
151, 85, 85
152, 127, 127
153, 170, 170
154, 212, 212
155, 0, 0
156, 0, 0
157, 0, 0
158, 0, 0
159, 0, 0
160, 0, 0
161, 0, 0
162, 0, 0
163, 0, 0
164, 0, 0
165, 0, 0
166, 0, 0
167, 0, 0
168, 0, 0
169, 0, 0
170, 0, 0
171, 0, 0
172, 0, 0
173, 0, 0
174, 0, 0
175, 0, 0
176, 0, 0
177, 0, 0
178, 0, 0
179, 64, 64
180, 40, 40
181, 40, 40
182, 0, 0
183, 126, 126
184, 126, 126
185, 0, 0
186, 0, 0
187, 0, 0
188, 0, 0
189, 0, 0
190, 0, 0
191, 0, 0
192, 0, 0
193, 0, 0
194, 0, 0
195, 0, 0
196, 0, 0
197, 0, 0
198, 0, 0
199, 0, 0
200, 0, 0
201, 0, 0
202, 0, 0
203, 0, 0
204, 0, 0
205, 0, 0
206, 0, 0
207, 0, 0
208, 0, 0
209, 0, 0
210, 0, 0
211, 0, 0
212, 0, 0
213, 0, 0
214, 0, 0
215, 0, 0
216, 0, 0
217, 0, 0
218, 0, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 0, 0
223, 0, 0
224, 0, 0
225, 0, 0
226, 0, 0
227, 0, 0
228, 0, 0
229, 0, 0
230, 0, 0
231, 0, 0
232, 0, 0
233, 0, 0
234, 0, 0
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 0, 0
240, 0, 0
241, 0, 0
242, 0, 0
243, 0, 0
244, 0, 0
245, 0, 0
246, 1, 1
247, 244, 244
248, 122, 122
249, 0, 0
250, 0, 0
251, 0, 0
252, 0, 0
253, 0, 0
254, 0, 0
255, 0, 0
256, 0, 0
2.1.257, 0, 0
2.1.258, 0, 0
2.1.259, 0, 0
2.1.260, 0, 0
2.1.261, 0, 0
2.1.262, 0, 0
2.1.263, 0, 0
2.1.264, 0, 0
2.1.265, 0, 0
2.1.266, 0, 0
2.1.267, 0, 0
2.1.268, 0, 0
2.1.269, 0, 0
2.1.270, 0, 0
2.1.271, 0, 0
2.1.272, 0, 0
2.1.273, 0, 0
2.1.274, 0, 0
2.1.275, 0, 0
2.1.276, 0, 0
2.1.277, 0, 0
16.0.257, 0, 0
16.0.258, 0, 0
16.0.259, 0, 1
16.0.260, 0, 0
16.0.261, 0, 0
16.0.262, 0, 16
16.0.263, 0, 0
16.0.264, 0, 0
16.0.265, 0, 0
16.0.266, 0, 0
16.0.267, 0, 1
16.0.268, 0, 0
16.0.269, 0, 0
16.0.270, 0, 16
16.0.271, 0, 0
16.0.272, 0, 0
16.0.273, 0, 0
16.0.274, 0, 0
16.0.275, 0, 1
16.0.276, 0, 0
16.0.277, 0, 0
16.0.278, 0, 16
16.0.279, 0, 0
16.0.280, 0, 0
16.0.281, 0, 0
16.0.282, 0, 0
16.0.283, 0, 1
16.0.284, 0, 0
16.0.285, 0, 0
16.0.286, 0, 16
16.0.287, 0, 0
16.0.288, 0, 0
16.0.289, 0, 0
16.0.290, 0, 0
16.0.291, 0, 1
16.0.292, 0, 0
16.0.293, 0, 0
16.0.294, 0, 15
16.0.295, 0, 0
16.0.296, 0, 0
16.0.297, 0, 0
16.0.298, 0, 0
16.0.299, 0, 1
16.0.300, 0, 0
16.0.301, 0, 0
16.0.302, 0, 15
16.0.303, 0, 0
16.0.304, 0, 0
16.0.305, 0, 0
16.0.306, 0, 0
16.0.307, 0, 1
16.0.308, 0, 0
16.0.309, 0, 0
16.0.310, 0, 15
16.0.311, 0, 0
16.0.312, 0, 0
16.0.313, 0, 0
16.0.314, 0, 0
16.0.315, 0, 31
16.0.316, 0, 0
16.0.317, 0, 0
16.0.318, 0, 15
16.0.319, 0, 0
16.0.320, 0, 0
16.0.321, 0, 0
16.0.322, 0, 0
16.0.323, 0, 1
16.0.324, 0, 0
16.0.325, 0, 0
16.0.326, 0, 31
16.0.327, 0, 0
16.0.328, 0, 0
16.0.329, 0, 0
16.0.330, 0, 0
16.0.331, 0, 1
16.0.332, 0, 0
16.0.333, 0, 0
16.0.334, 0, 31
16.0.335, 0, 0
16.0.336, 0, 0
16.0.337, 0, 0
16.0.338, 0, 0
16.0.339, 0, 1
16.0.340, 0, 0
16.0.341, 0, 0
16.0.342, 0, 31
16.0.343, 0, 0
16.0.344, 0, 0
16.0.345, 0, 0
16.0.346, 0, 0
16.0.347, 0, 1
16.0.348, 0, 0
16.0.349, 0, 0
16.0.350, 0, 31
16.0.351, 0, 0
16.0.352, 0, 0
16.0.353, 0, 0
16.0.354, 0, 31
16.0.355, 0, 1
16.0.356, 0, 0
16.0.357, 0, 0
16.0.358, 0, 31
16.0.359, 0, 0
16.0.360, 0, 31
16.0.361, 0, 0
16.0.362, 0, 31
16.0.363, 0, 1
16.0.364, 0, 0
16.0.365, 0, 0
16.0.366, 0, 31
16.0.367, 0, 0
16.0.368, 0, 31
16.0.369, 0, 0
16.0.370, 0, 0
16.0.371, 0, 1
16.0.372, 0, 0
16.0.373, 0, 0
16.0.374, 0, 31
16.0.375, 0, 0
16.0.376, 0, 31
16.0.377, 0, 0
16.0.378, 0, 0
16.0.379, 0, 1
16.0.380, 0, 0
16.0.381, 0, 0
16.0.382, 0, 31
16.0.383, 0, 0
16.0.384, 0, 31
16.0.385, 0, 0
16.0.386, 0, 0
16.0.387, 0, 1
16.0.388, 0, 0
16.0.389, 0, 0
16.0.390, 0, 16
16.0.391, 0, 0
16.0.392, 0, 0
16.0.393, 0, 0
16.0.394, 0, 0
16.0.395, 0, 1
16.0.396, 0, 0
16.0.397, 0, 0
16.0.398, 0, 16
16.0.399, 0, 0
16.0.400, 0, 0
16.0.401, 0, 0
16.0.402, 0, 0
16.0.403, 0, 1
16.0.404, 0, 0
16.0.405, 0, 0
16.0.406, 0, 16
16.0.407, 0, 0
16.0.408, 0, 0
16.0.409, 0, 0
16.0.410, 0, 0
16.0.411, 0, 1
16.0.412, 0, 0
16.0.413, 0, 0
16.0.414, 0, 16
16.0.415, 0, 0
16.0.416, 0, 0
16.0.417, 0, 0
16.0.418, 0, 0
16.0.419, 0, 1
16.0.420, 0, 0
16.0.421, 0, 0
16.0.422, 0, 15
16.0.423, 0, 0
16.0.424, 0, 0
16.0.425, 0, 0
16.0.426, 0, 0
16.0.427, 0, 1
16.0.428, 0, 0
16.0.429, 0, 0
16.0.430, 0, 15
16.0.431, 0, 0
16.0.432, 0, 0
16.0.433, 0, 0
16.0.434, 0, 0
16.0.435, 0, 1
16.0.436, 0, 0
16.0.437, 0, 0
16.0.438, 0, 15
16.0.439, 0, 0
16.0.440, 0, 0
16.0.441, 0, 0
16.0.442, 0, 0
16.0.443, 0, 31
16.0.444, 0, 0
16.0.445, 0, 0
16.0.446, 0, 15
16.0.447, 0, 0
16.0.448, 0, 0
16.0.449, 0, 0
16.0.450, 0, 0
16.0.451, 0, 1
16.0.452, 0, 0
16.0.453, 0, 0
16.0.454, 0, 31
16.0.455, 0, 0
16.0.456, 0, 0
16.0.457, 0, 0
16.0.458, 0, 0
16.0.459, 0, 1
16.0.460, 0, 0
16.0.461, 0, 0
16.0.462, 0, 31
16.0.463, 0, 0
16.0.464, 0, 0
16.0.465, 0, 0
16.0.466, 0, 0
16.0.467, 0, 1
16.0.468, 0, 0
16.0.469, 0, 0
16.0.470, 0, 31
16.0.471, 0, 0
16.0.472, 0, 0
16.0.473, 0, 0
16.0.474, 0, 0
16.0.475, 0, 1
16.0.476, 0, 0
16.0.477, 0, 0
16.0.478, 0, 31
16.0.479, 0, 0
16.0.480, 0, 0
16.0.481, 0, 0
16.0.482, 0, 31
16.0.483, 0, 1
16.0.484, 0, 0
16.0.485, 0, 0
16.0.486, 0, 31
16.0.487, 0, 0
16.0.488, 0, 31
16.0.489, 0, 0
16.0.490, 0, 31
16.0.491, 0, 1
16.0.492, 0, 0
16.0.493, 0, 0
16.0.494, 0, 31
16.0.495, 0, 0
16.0.496, 0, 31
16.0.497, 0, 0
16.0.498, 0, 0
16.0.499, 0, 1
16.0.500, 0, 0
16.0.501, 0, 0
16.0.502, 0, 31
16.0.503, 0, 0
16.0.504, 0, 31
16.0.505, 0, 0
16.0.506, 0, 0
16.0.507, 0, 1
16.0.508, 0, 0
16.0.509, 0, 0
16.0.510, 0, 31
